Timestamp,Date,Country,Summary of measure,Amount (Local Currency),Measure type,Cash measure?,Reference (URL),Comments,Added by,Measure category
05/05/2020 21:26:10,30/04/2020,Malaysia,One-time grants to micro SME's,"2,100,000,000",Fiscal,Yes,https://www.theedgemarkets.com/article/mof-targets-700000-smes-benefit-prihatin-special-grant-tengku-zafrul,"Planning to disburse this grant to 700,000 micro SME's, not a high total amount to allocate.",Fred,
01/06/2020 17:27:34,15/03/2020,Malaysia,Loan moratorium,"100,000,000,000",Other,No,,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,Loan Guarantee,"50,000,000,000",Fiscal,No,50,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,EPF withdrawal,"40,000,000,000",Other,No,40,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,GLC Capex,0,Other,No,0,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,SME financing,"11,700,000,000",Fiscal,Yes,11.7,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,Bantuan Prihatin Nasioanl,"14,500,000,000",Fiscal,Yes,14.5,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,Tax deferment ,"10,500,000,000",Fiscal,Yes,10.5,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,Wage subsidies,"17,200,000,000",Fiscal,Yes,17.2,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,Healthcare support,"2,100,000,000",Fiscal,Yes,2.1,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,DE project,"3,200,000,000",Fiscal,Yes,3.2,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,Bonus,"1,300,000,000",Fiscal,Yes,1.3,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,Utility discounts,"1,700,000,000",Fiscal,Yes,1.7,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Singapore,Jobs Support Scheme,"19,100,000,000",Fiscal,Yes,19.1,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Singapore,Cash payout,"1,200,000,000",Fiscal,Yes,1.2,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Singapore,Cash payout,"1,080,000,000",Fiscal,Yes,1.08,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Singapore,Jobs creation + training,"1,241,500,000",Fiscal,Yes,1.2415,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Singapore,Unemployment support,"145,000,000",Fiscal,Yes,0.145,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Singapore,Tax deferment ,"11,173,500,000",Fiscal,Yes,11.1735,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Singapore,Loan support,"21,700,000,000",Fiscal,No,21.7,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Singapore,Cash payout,"4,110,000,000",Fiscal,Yes,4.11,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,United Kingdom,Tax deferment ,"12,000,000,000",Fiscal,Yes,12,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,United Kingdom,Jobs support - SE,"9,000,000,000",Fiscal,Yes,9,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,United Kingdom,Jobs support,"12,000,000,000",Fiscal,Yes,12,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,United Kingdom,Tax deferment ,"20,000,000,000",Fiscal,Yes,20,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,United Kingdom,Cash payout,"7,000,000,000",Fiscal,Yes,7,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,United Kingdom,Loan guarantees,"330,000,000,000",Fiscal,Yes,330,Based on previous analysis of the stimulus package,FP,
