Timestamp,Date,Country,Summary of measure,Amount (Local Currency),Measure type,Cash measure?,Reference (URL),Comments,Added by,Measure category
05/05/2020 21:26:10,30/04/2020,Malaysia,One-time grants to micro SME's,"2,100,000,000",Fiscal,Yes,https://www.theedgemarkets.com/article/mof-targets-700000-smes-benefit-prihatin-special-grant-tengku-zafrul,"Planning to disburse this grant to 700,000 micro SME's, not a high total amount to allocate.",Fred,
01/06/2020 17:27:34,15/03/2020,Malaysia,Loan moratorium,"100,000,000,000",Other,No,,Based on previous analysis of the stimulus package,FP,
04/06/2020 16:17:42,26/05/2020,Singapore,Jobs Support Scheme (extension),"2,900,000,000",Fiscal,Yes,https://www.singaporebudget.gov.sg/budget_2020/fortitude-budget/fortitude-budget-statement#t1,Extension to the Jobs Support Scheme,FP,
04/06/2020 16:20:01,26/05/2020,Singapore,SME support (rental),"2,000,000,000",Fiscal,Yes,https://www.singaporebudget.gov.sg/budget_2020/fortitude-budget/fortitude-budget-statement#t1,Rental support for SME's,FP,
04/06/2020 16:25:43,26/05/2020,Singapore,Loans for startups,"285,000,000",Fiscal,Yes,https://www.singaporebudget.gov.sg/budget_2020/fortitude-budget/fortitude-budget-statement#t1,"Loans provided directly by the government, hence not contingent",FP,
04/06/2020 16:33:32,26/05/2020,Singapore,Digitalisation subsidies,"750,000,000",Fiscal,Yes,https://www.singaporebudget.gov.sg/budget_2020/fortitude-budget/fortitude-budget-statement#t1,Various subsidies to SME's to encourage digitalisation,FP,
04/06/2020 16:36:46,26/05/2020,Singapore,SGUnited Jobs and Skills programme,"2,000,000,000",Fiscal,Yes,https://www.singaporebudget.gov.sg/budget_2020/fortitude-budget/fortitude-budget-statement#t1,Various incentives for hiring and re-skilling,FP,
04/06/2020 16:39:42,26/05/2020,Singapore,Covid-19 Support Grant,"800,000,000",Fiscal,Yes,https://www.singaporebudget.gov.sg/budget_2020/fortitude-budget/fortitude-budget-statement#t1,Grants to support newly unemployed or other loss of income,FP,
04/06/2020 16:42:52,26/05/2020,Singapore,Support for charities,"100,000,000",Fiscal,Yes,https://www.singaporebudget.gov.sg/budget_2020/fortitude-budget/fortitude-budget-statement#t1,Additional support for charities through Tote Board,FP,
04/06/2020 16:45:47,26/05/2020,Singapore,Social services funding,"18,000,000",Fiscal,Yes,https://www.singaporebudget.gov.sg/budget_2020/fortitude-budget/fortitude-budget-statement#t1,Additional funding through Invictus fund,FP,
04/06/2020 16:53:54,26/05/2020,Singapore,Contingency fund,"13,000,000,000",Contingent loan guarantee),No,https://www.singaporebudget.gov.sg/budget_2020/fortitude-budget/fortitude-budget-statement#t1,Additional contribution to government contingency fund,FP,
04/06/2020 17:01:51,26/05/2020,Singapore,Tax and rental deferments,"11,147,000,000",Fiscal,Yes,https://www.singaporebudget.gov.sg/budget_2020/fortitude-budget/fortitude-budget-statement#t1,Various tax and contribution deferments as well as rental waivers (plug),FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,Loan Guarantee,"50,000,000,000",Fiscal,No,,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,EPF withdrawal,"40,000,000,000",Other,No,,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,GLC Capex,0,Other,No,,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,SME financing,"11,700,000,000",Fiscal,Yes,,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,Bantuan Prihatin Nasioanl,"14,500,000,000",Fiscal,Yes,,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,Tax deferment ,"10,500,000,000",Fiscal,Yes,,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,Wage subsidies,"17,200,000,000",Fiscal,Yes,,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,Healthcare support,"2,100,000,000",Fiscal,Yes,,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,DE project,"3,200,000,000",Fiscal,Yes,,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,Bonus,"1,300,000,000",Fiscal,Yes,,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Malaysia,Utility discounts,"1,700,000,000",Fiscal,Yes,,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Singapore,Jobs Support Scheme,"19,100,000,000",Fiscal,Yes,,Based on previous analysis of the stimulus package,FP,
01/06/2020 17:27:34,15/03/2020,Singapore,Cash payout,"1,200,000,000",Fiscal,Yes,,Based on previous analysis of the stimulus package,FP,
